id,probability
0,0.978
1,0.342
2,0.008
3,0.992
4,0.0
5,0.62
6,1.0
7,0.092
8,0.574
9,0.9
10,0.828
11,0.23
12,0.762
13,1.0
14,0.614
15,0.42
16,0.928
17,0.78
18,0.962
19,0.098
20,1.0
21,0.76
22,1.0
23,0.768
24,0.44
25,0.998
26,0.926
27,0.804
28,0.042
29,1.0
30,0.99
31,0.984
32,0.07
33,0.414
34,0.994
35,0.858
36,0.974
37,1.0
38,0.558
39,0.576
40,0.994
41,1.0
42,0.008
43,0.43
44,1.0
45,0.0
46,0.62
47,0.998
48,0.956
49,0.664
50,0.994
51,0.98
52,0.04
53,0.75
54,0.066
55,0.992
56,0.758
57,0.908
58,0.87
59,0.252
60,0.0
61,1.0
62,0.732
63,0.882
64,0.186
65,0.902
66,0.49
67,0.902
68,0.99
69,0.896
70,0.976
71,1.0
72,0.92
73,0.682
74,0.078
75,0.98
76,1.0
77,0.926
78,0.488
79,0.618
80,0.012
81,0.674
82,0.812
83,0.634
84,0.604
85,0.606
86,0.998
87,0.864
88,0.226
89,0.0
90,0.442
91,0.666
92,1.0
93,0.218
94,0.46
95,0.04
96,0.078
97,0.992
98,1.0
99,0.988
100,0.9
101,0.996
102,0.58
103,0.934
104,0.93
105,0.984
106,0.996
107,0.854
108,0.0
109,0.63
110,0.094
111,1.0
112,1.0
113,0.014
114,0.006
115,0.152
116,0.918
117,0.984
118,0.772
119,0.972
120,0.976
121,0.846
122,1.0
123,0.0
124,1.0
125,0.898
126,0.162
127,0.896
128,0.982
129,0.732
130,0.012
131,0.822
132,0.928
133,0.256
134,0.404
135,0.002
136,0.7
137,0.902
138,1.0
139,0.586
140,0.63
141,1.0
142,0.004
143,1.0
144,0.022
145,0.978
146,1.0
147,0.208
148,0.708
149,0.114
150,0.996
151,0.098
152,1.0
153,0.046
154,0.274
155,0.988
156,0.148
157,0.032
158,0.77
159,0.418
160,1.0
161,0.982
162,0.0
163,0.964
164,0.836
165,0.92
166,0.93
167,0.288
168,0.988
169,0.714
170,0.968
171,1.0
172,1.0
173,0.354
174,0.456
175,0.424
176,0.962
