id,voting
0,0.746
1,0.511
2,0.456
3,0.585
4,0.275
5,0.563
6,0.804
7,0.43
8,0.528
9,0.713
10,0.67
11,0.531
12,0.586
13,0.825
14,0.573
15,0.512
16,0.679
17,0.574
18,0.62
19,0.443
20,0.921
21,0.572
22,0.778
23,0.659
24,0.603
25,0.686
26,0.637
27,0.713
28,0.437
29,0.822
30,0.672
31,0.714
32,0.443
33,0.681
34,0.771
35,0.627
36,0.674
37,0.838
38,0.649
39,0.56
40,0.612
41,0.777
42,0.407
43,0.586
44,0.803
45,0.192
46,0.566
47,0.843
48,0.741
49,0.619
50,0.726
51,0.682
52,0.36
53,0.553
54,0.44
55,0.68
56,0.628
57,0.554
58,0.646
59,0.506
60,0.275
61,0.818
62,0.539
63,0.576
64,0.451
65,0.695
66,0.501
67,0.651
68,0.713
69,0.646
70,0.654
71,0.851
72,0.736
73,0.586
74,0.431
75,0.678
76,0.878
77,0.756
78,0.358
79,0.598
80,0.35
81,0.544
82,0.624
83,0.48
84,0.572
85,0.507
86,0.793
87,0.592
88,0.62
89,0.285
90,0.555
91,0.587
92,0.858
93,0.59
94,0.532
95,0.426
96,0.472
97,0.772
98,0.751
99,0.818
100,0.615
101,0.801
102,0.597
103,0.596
104,0.682
105,0.651
106,0.776
107,0.61
108,0.31
109,0.551
110,0.493
111,0.709
112,0.85
113,0.345
114,0.399
115,0.374
116,0.616
117,0.657
118,0.58
119,0.667
120,0.56
121,0.578
122,0.791
123,0.257
124,0.902
125,0.721
126,0.483
127,0.637
128,0.703
129,0.591
130,0.366
131,0.639
132,0.712
133,0.52
134,0.465
135,0.294
136,0.471
137,0.654
138,0.729
139,0.476
140,0.534
141,0.799
142,0.526
143,0.805
144,0.45
145,0.682
146,0.742
147,0.504
148,0.583
149,0.367
150,0.748
151,0.489
152,0.881
153,0.453
154,0.367
155,0.713
156,0.511
157,0.502
158,0.535
159,0.552
160,0.79
161,0.696
162,0.301
163,0.748
164,0.609
165,0.595
166,0.778
167,0.478
168,0.672
169,0.616
170,0.704
171,0.87
172,0.844
173,0.484
174,0.369
175,0.681
176,0.688
177,0.435
178,0.817
179,0.669
180,0.672
181,0.639
182,0.719
183,0.663
184,0.886
185,0.233
186,0.393
187,0.87
188,0.73
189,0.562
190,0.264
191,0.567
192,0.644
193,0.748
