id,voting
0,0.64
1,0.56
2,0.72
3,0.34
4,0.6
5,0.66
6,0.68
7,0.68
8,0.54
9,0.54
10,0.66
11,0.72
12,0.58
13,0.56
14,0.64
15,0.6
16,0.52
17,0.3
18,0.86
19,0.62
20,0.54
21,0.44
22,0.6
23,0.5
24,0.84
25,0.46
26,0.52
27,0.6
28,0.44
29,0.48
30,0.6
31,0.72
32,0.66
33,0.56
34,0.66
35,0.36
36,0.62
37,0.84
38,0.58
39,0.44
40,0.62
41,0.62
42,0.54
43,0.64
44,0.62
45,0.56
46,0.72
47,0.68
48,0.78
49,0.58
50,0.4
51,0.64
52,0.66
53,0.54
54,0.58
55,0.36
56,0.34
57,0.56
58,0.58
59,0.42
60,0.38
61,0.54
62,0.68
63,0.56
64,0.64
65,0.6
66,0.5
67,0.52
68,0.8
69,0.64
70,0.38
71,0.66
72,0.6
73,0.72
74,0.54
75,0.42
76,0.74
77,0.52
78,0.64
79,0.82
80,0.74
81,0.58
82,0.74
83,0.6
84,0.56
85,0.64
86,0.4
87,0.46
88,0.44
89,0.58
90,0.86
91,0.74
92,0.64
93,0.82
94,0.56
95,0.54
96,0.66
97,0.7
98,0.5
99,0.7
100,0.56
101,0.64
102,0.54
103,0.5
104,0.58
105,0.42
106,0.62
107,0.58
108,0.64
109,0.58
110,0.44
111,0.62
112,0.62
113,0.7
114,0.6
115,0.56
116,0.76
117,0.36
118,0.68
119,0.74
120,0.7
121,0.58
122,0.46
123,0.6
124,0.6
125,0.58
126,0.72
127,0.6
128,0.76
129,0.64
130,0.64
131,0.74
132,0.52
133,0.6
134,0.78
135,0.38
136,0.66
137,0.72
138,0.62
139,0.66
140,0.58
141,0.5
142,0.64
143,0.64
144,0.56
145,0.44
146,0.58
147,0.62
148,0.68
149,0.78
150,0.64
151,0.52
152,0.64
153,0.74
154,0.46
155,0.64
156,0.68
157,0.62
158,0.34
159,0.56
160,0.42
161,0.62
162,0.6
163,0.58
164,0.58
165,0.48
166,0.8
167,0.68
168,0.64
169,0.7
170,0.46
171,0.5
172,0.6
173,0.44
174,0.7
175,0.64
176,0.74
177,0.46
178,0.52
179,0.54
180,0.52
181,0.44
182,0.54
183,0.72
184,0.56
185,0.56
186,0.44
187,0.7
188,0.82
189,0.56
190,0.34
191,0.72
192,0.58
193,0.56
194,0.4
195,0.54
196,0.58
197,0.5
198,0.68
199,0.44
200,0.58
201,0.66
202,0.46
203,0.68
204,0.66
205,0.52
206,0.6
207,0.62
208,0.6
209,0.52
210,0.66
211,0.58
212,0.58
213,0.54
214,0.74
215,0.58
216,0.5
217,0.42
218,0.5
219,0.62
220,0.64
221,0.48
222,0.66
223,0.5
