team,pitcher,pitcher_rest,date,season
BPH,richaly01,6.0,2016-04-14,2016
BPH,richaly01,5.0,2016-05-22,2016
BPH,diazyi01,6.0,2016-06-24,2016
BPH,montera01,6.0,2016-06-25,2016
BPH,,5.0,2016-07-31,2016
BPH,howarsa01,5.0,2017-04-11,2017
BPH,smithaj01,6.0,2017-04-14,2017
BPH,diazyi01,7.0,2017-05-20,2017
BPH,merriry01,5.0,2017-06-11,2017
BPH,howarsa01,6.0,2017-06-13,2017
BPH,merriry01,6.0,2017-06-23,2017
BPH,howarsa01,6.0,2017-06-24,2017
BPH,smithaj01,5.0,2017-07-01,2017
BPH,diazyi01,5.0,2017-07-07,2017
BPH,diazyi01,5.0,2017-07-21,2017
BPH,smithaj01,5.0,2017-07-23,2017
BPH,montera01,5.0,2017-07-29,2017
BPH,syndeno01,5.0,2018-04-14,2018
BPH,smithaj01,6.0,2018-05-12,2018
BPH,,6.0,2018-07-27,2018
BPH,kochma01,0.0,2019-03-30,2019
BPH,smithaj01,0.0,2019-03-31,2019
BPH,merriry01,0.0,2019-04-07,2019
BPH,kochma01,6.0,2019-04-21,2019
BPH,syndeno01,6.0,2019-04-26,2019
BPH,syndeno01,5.0,2019-07-20,2019
BPH,kochma01,5.0,2019-07-23,2019
BPH,wicksjo01,6.0,2021-04-23,2021
BPH,diazyi01,5.0,2021-05-02,2021
BPH,merriry01,5.0,2021-07-01,2021
BPH,ginnjt01,5.0,2021-07-07,2021
BPH,wicksjo01,5.0,2021-07-22,2021
BPH,leiteja01,0.0,2021-07-24,2021
BPH,kochma01,6.0,2022-06-07,2022
BPH,syndeno01,6.0,2022-06-09,2022
BPH,kochma01,5.0,2022-06-28,2022
BPH,merriry01,5.0,2022-07-08,2022
BPH,quintjo01,5.0,2023-04-17,2023
BPH,leiteja01,5.0,2023-04-19,2023
BPH,syndeno01,5.0,2023-05-25,2023
BPH,quintjo01,5.0,2023-06-07,2023
BPH,syndeno01,5.0,2023-06-21,2023
BPH,,4.0,2023-07-05,2023
BPH,quintjo01,0.0,2023-07-06,2023
BPH,arihako01,0.0,2023-07-18,2023
BPH,arihako01,5.0,2023-07-28,2023
DPS,faedoal01,5.0,2016-04-09,2016
DPS,armstsh01,8.0,2016-04-21,2016
DPS,holmegr01,5.0,2016-05-10,2016
DPS,,0.0,2016-05-28,2016
DPS,faedoal01,5.0,2016-07-08,2016
DPS,campbpa02,5.0,2016-07-27,2016
DPS,couloda01,5.0,2017-04-24,2017
DPS,campbpa02,5.0,2017-05-21,2017
DPS,adlemti01,6.0,2017-05-25,2017
DPS,diazmi02,5.0,2017-05-28,2017
DPS,wachami01,0.0,2017-05-31,2017
DPS,wachami01,6.0,2017-06-30,2017
DPS,faedoal01,6.0,2017-07-07,2017
DPS,diazmi02,5.0,2017-07-22,2017
DPS,wachami01,29.0,2017-07-29,2017
DPS,garzaju01,6.0,2018-05-13,2018
DPS,alexaty01,6.0,2018-06-01,2018
DPS,faedoal01,6.0,2018-06-25,2018
DPS,morgaad01,12.0,2018-07-22,2018
DPS,howarsa01,0.0,2019-03-31,2019
DPS,simonal01,21.0,2019-06-02,2019
DPS,oberba01,5.0,2019-06-16,2019
DPS,simonal01,5.0,2019-06-18,2019
DPS,godleza01,6.0,2019-07-06,2019
DPS,oberba01,6.0,2019-07-20,2019
DPS,allarko01,6.0,2021-04-12,2021
DPS,allarko01,6.0,2021-05-09,2021
DPS,rucindr01,6.0,2021-05-10,2021
DPS,woodtr01,5.0,2021-05-11,2021
DPS,garream01,5.0,2021-05-23,2021
DPS,garream01,5.0,2021-06-03,2021
DPS,tsengje01,5.0,2021-06-24,2021
DPS,allarko01,5.0,2021-07-06,2021
DPS,woodtr01,6.0,2021-07-09,2021
DPS,duffyda01,5.0,2022-04-29,2022
DPS,martico01,5.0,2022-05-22,2022
DPS,couloda01,5.0,2022-06-05,2022
DPS,bergmch01,5.0,2022-07-30,2022
DPS,couloda01,0.0,2023-04-02,2023
DPS,suarejo01,6.0,2023-04-16,2023
DPS,boshebu01,6.0,2023-04-24,2023
DPS,suarejo01,7.0,2023-05-21,2023
DPS,couloda01,5.0,2023-06-21,2023
DPS,suarejo01,6.0,2023-07-02,2023
ECN,barnema01,5.0,2016-05-05,2016
ECN,mikolmi01,6.0,2016-06-07,2016
ECN,kellemi03,5.0,2016-07-02,2016
ECN,mikolmi01,5.0,2016-07-03,2016
ECN,surkaer01,7.0,2017-04-30,2017
ECN,weathry01,5.0,2017-05-06,2017
ECN,pelfrmi01,5.0,2017-05-24,2017
ECN,hearnta01,6.0,2017-06-06,2017
ECN,surkaer01,5.0,2017-06-07,2017
ECN,hearnta01,5.0,2017-07-07,2017
ECN,reaco01,5.0,2017-07-26,2017
ECN,shephch01,5.0,2018-04-18,2018
ECN,chenwe02,6.0,2018-06-12,2018
ECN,shephch01,7.0,2018-06-20,2018
ECN,verlaju01,5.0,2018-07-01,2018
ECN,walstbl01,5.0,2019-05-03,2019
ECN,buehlwa01,5.0,2021-04-25,2021
ECN,reyesde02,5.0,2021-04-27,2021
ECN,buehlwa01,5.0,2021-05-13,2021
ECN,buehlwa01,6.0,2021-06-10,2021
ECN,rodrich01,6.0,2021-06-12,2021
ECN,buehlwa01,5.0,2021-06-15,2021
ECN,shephch01,8.0,2021-07-16,2021
ECN,geedi01,8.0,2021-07-27,2021
ECN,,0.0,2022-04-14,2022
ECN,buehlwa01,0.0,2022-05-09,2022
ECN,geedi01,5.0,2022-05-28,2022
ECN,buehlwa01,7.0,2022-06-22,2022
ECN,avilape01,10.0,2022-07-22,2022
ECN,buehlwa01,13.0,2022-07-27,2022
ECN,avilape01,0.0,2023-04-02,2023
ECN,lowthza01,5.0,2023-04-14,2023
ECN,bendean01,6.0,2023-05-01,2023
ECN,bendean01,6.0,2023-05-20,2023
ECN,avilape01,5.0,2023-05-28,2023
ECN,sorokmi01,6.0,2023-06-20,2023
ECN,bendean01,5.0,2023-06-28,2023
ECN,borucry01,0.0,2023-07-17,2023
FBW,mchugco01,6.0,2016-04-21,2016
FBW,winanal01,5.0,2016-06-27,2016
FBW,payamjo01,0.0,2016-07-19,2016
FBW,hamilia01,0.0,2017-04-07,2017
FBW,detmere01,6.0,2017-04-22,2017
FBW,winanal01,5.0,2017-05-19,2017
FBW,hamilia01,5.0,2017-05-22,2017
FBW,baumami01,11.0,2017-06-17,2017
