team,pitcher,pitcher_rest,date,season
BPH,merriry01,,2016-04-03,2016
BPH,smithaj01,,2016-04-05,2016
BPH,montera01,,2016-04-06,2016
BPH,richaly01,,2016-04-08,2016
BPH,diazyi01,,2016-04-09,2016
BPH,merriry01,7.0,2016-04-10,2016
BPH,smithaj01,6.0,2016-04-11,2016
BPH,montera01,7.0,2016-04-13,2016
BPH,,6.0,2016-04-14,2016
BPH,diazyi01,6.0,2016-04-15,2016
BPH,merriry01,6.0,2016-04-16,2016
BPH,smithaj01,6.0,2016-04-17,2016
BPH,montera01,5.0,2016-04-18,2016
BPH,richaly01,5.0,2016-04-19,2016
BPH,diazyi01,5.0,2016-04-20,2016
BPH,merriry01,6.0,2016-04-22,2016
BPH,smithaj01,6.0,2016-04-23,2016
BPH,montera01,6.0,2016-04-24,2016
BPH,richaly01,6.0,2016-04-25,2016
BPH,diazyi01,6.0,2016-04-26,2016
BPH,merriry01,5.0,2016-04-27,2016
BPH,smithaj01,5.0,2016-04-28,2016
BPH,montera01,5.0,2016-04-29,2016
BPH,richaly01,5.0,2016-04-30,2016
BPH,diazyi01,5.0,2016-05-01,2016
BPH,merriry01,5.0,2016-05-02,2016
BPH,smithaj01,5.0,2016-05-03,2016
BPH,montera01,5.0,2016-05-04,2016
BPH,richaly01,5.0,2016-05-05,2016
BPH,diazyi01,5.0,2016-05-06,2016
BPH,merriry01,5.0,2016-05-07,2016
BPH,smithaj01,5.0,2016-05-08,2016
BPH,montera01,6.0,2016-05-10,2016
BPH,richaly01,6.0,2016-05-11,2016
BPH,merriry01,5.0,2016-05-12,2016
BPH,smithaj01,,2016-05-13,2016
BPH,diazyi01,8.0,2016-05-14,2016
BPH,montera01,5.0,2016-05-15,2016
BPH,richaly01,6.0,2016-05-17,2016
BPH,merriry01,6.0,2016-05-18,2016
BPH,smithaj01,6.0,2016-05-19,2016
BPH,diazyi01,6.0,2016-05-20,2016
BPH,montera01,6.0,2016-05-21,2016
BPH,,5.0,2016-05-22,2016
BPH,merriry01,5.0,2016-05-23,2016
BPH,smithaj01,5.0,2016-05-24,2016
BPH,diazyi01,5.0,2016-05-25,2016
BPH,montera01,5.0,2016-05-26,2016
BPH,richaly01,5.0,2016-05-27,2016
BPH,merriry01,5.0,2016-05-28,2016
BPH,smithaj01,5.0,2016-05-29,2016
BPH,diazyi01,5.0,2016-05-30,2016
BPH,montera01,5.0,2016-05-31,2016
BPH,richaly01,5.0,2016-06-01,2016
BPH,merriry01,6.0,2016-06-03,2016
BPH,smithaj01,6.0,2016-06-04,2016
BPH,diazyi01,6.0,2016-06-05,2016
BPH,montera01,7.0,2016-06-07,2016
BPH,richaly01,7.0,2016-06-08,2016
BPH,merriry01,6.0,2016-06-09,2016
BPH,smithaj01,6.0,2016-06-10,2016
BPH,diazyi01,6.0,2016-06-11,2016
BPH,montera01,5.0,2016-06-12,2016
BPH,richaly01,6.0,2016-06-14,2016
BPH,merriry01,6.0,2016-06-15,2016
BPH,smithaj01,7.0,2016-06-17,2016
BPH,diazyi01,7.0,2016-06-18,2016
BPH,montera01,7.0,2016-06-19,2016
BPH,richaly01,6.0,2016-06-20,2016
BPH,merriry01,6.0,2016-06-21,2016
BPH,smithaj01,5.0,2016-06-22,2016
BPH,,6.0,2016-06-24,2016
BPH,,6.0,2016-06-25,2016
BPH,richaly01,6.0,2016-06-26,2016
BPH,merriry01,6.0,2016-06-27,2016
BPH,smithaj01,6.0,2016-06-28,2016
