id,home_team_win
0,0.826
1,0.784
2,0.98
3,0.142
4,0.482
5,0.892
6,0.166
7,0.57
8,0.402
9,0.648
10,0.946
11,0.742
12,0.588
13,0.368
14,0.788
15,0.78
16,0.166
17,0.3
18,0.88
19,0.94
20,0.716
21,0.292
22,0.716
23,0.596
24,0.926
25,0.402
26,0.59
27,0.362
28,0.346
29,0.546
30,0.926
31,0.906
32,0.904
33,0.646
34,0.998
35,0.106
36,0.298
37,0.936
38,0.808
39,0.688
40,0.704
41,0.072
42,0.848
43,0.966
44,0.186
45,0.218
46,0.784
47,0.414
48,0.854
49,0.954
50,0.564
51,0.77
52,0.858
53,0.532
54,0.976
55,0.154
56,0.246
57,0.576
58,0.286
59,0.134
60,0.094
61,0.688
62,0.51
63,0.57
64,0.894
65,0.85
66,0.324
67,0.064
68,0.932
69,0.382
70,0.288
71,0.758
72,0.55
73,0.98
74,0.826
75,0.504
76,0.942
77,0.656
78,0.128
79,0.984
80,0.99
81,0.47
82,0.824
83,0.714
84,0.19
85,0.756
86,0.074
87,0.104
88,0.606
89,0.378
90,0.954
91,0.93
92,0.77
93,0.982
94,0.59
95,0.852
96,0.842
97,0.54
98,0.186
99,0.974
100,0.99
101,0.906
102,0.278
103,0.368
104,0.786
105,0.58
106,0.844
107,0.874
108,0.896
109,0.572
110,0.444
111,0.28
112,0.596
113,0.78
114,0.528
115,0.662
116,0.926
117,0.246
118,0.968
119,0.96
120,0.79
121,0.798
122,0.172
123,0.898
124,0.404
125,0.548
126,0.876
127,0.26
128,0.758
129,0.656
130,0.274
131,0.756
132,0.656
133,0.614
134,0.832
135,0.072
136,0.646
137,0.556
138,0.558
139,0.566
140,0.646
141,0.524
142,0.486
143,0.334
144,0.352
145,0.226
146,0.338
147,0.806
148,0.478
149,0.692
150,0.992
151,0.096
152,0.702
153,0.666
154,0.266
155,0.772
156,0.778
157,0.756
158,0.49
159,0.658
160,0.38
161,0.578
162,0.266
163,0.616
164,0.728
165,0.614
166,0.664
167,0.656
168,0.342
169,0.876
170,0.526
171,0.696
172,0.574
173,0.784
174,0.552
175,0.778
176,0.89
177,0.786
178,0.58
179,0.638
180,0.762
181,0.584
182,0.428
183,0.932
184,0.276
185,0.972
186,0.07
187,0.914
188,0.936
189,0.862
190,0.11
191,0.798
192,0.536
193,0.578
194,0.096
195,0.284
196,0.762
197,0.416
198,0.854
199,0.286
200,0.676
201,0.764
202,0.706
203,0.462
204,0.492
205,0.632
206,0.072
207,0.838
208,0.674
209,0.24
210,0.978
211,0.656
212,0.838
213,0.816
214,0.93
215,0.54
216,0.27
217,0.096
218,0.644
219,0.728
220,0.586
221,0.366
222,0.984
223,0.532
224,0.292
225,0.468
226,0.326
227,0.532
228,0.462
229,0.076
230,0.638
231,0.136
232,0.54
233,0.648
234,0.666
235,0.848
236,0.712
237,0.75
238,0.788
239,0.294
240,0.9
241,0.388
242,0.688
243,0.95
244,0.138
245,0.632
246,0.968
247,0.198
248,0.81
249,0.546
250,0.56
251,0.876
252,0.9
253,0.578
254,0.652
255,0.804
256,0.652
257,0.946
258,0.982
259,0.528
260,0.482
261,0.672
262,0.916
263,0.578
264,0.084
265,0.854
266,0.354
267,0.688
268,0.706
269,0.478
270,0.062
271,0.844
272,0.516
273,0.762
274,0.942
275,0.86
276,0.238
277,0.748
278,0.752
279,0.566
280,0.72
281,0.308
282,0.588
283,0.898
284,0.166
285,0.804
286,0.692
287,0.948
288,0.92
289,0.888
290,0.94
291,0.306
292,0.744
293,0.954
294,0.518
295,0.67
296,0.738
297,0.88
298,0.9
299,0.968
300,0.776
301,0.912
302,0.526
303,0.108
304,0.836
305,0.772
306,0.132
307,0.78
308,0.162
309,0.404
310,0.508
311,0.94
312,0.888
313,0.454
314,0.784
315,0.91
316,0.952
317,0.156
318,0.984
319,0.196
320,0.63
321,0.648
322,0.738
323,0.168
324,0.934
325,0.236
326,0.766
327,0.732
328,0.512
329,0.402
330,0.206
331,0.202
332,0.158
333,0.776
334,0.366
335,0.286
336,0.448
337,0.086
338,0.108
339,0.404
340,0.698
341,0.882
342,0.096
343,0.55
344,0.698
345,0.2
346,0.8
347,0.366
348,0.512
349,0.788
350,0.316
351,0.652
352,0.642
353,0.124
354,0.848
355,0.07
356,0.77
357,0.742
358,0.834
359,0.398
360,0.908
361,0.832
362,0.972
363,0.328
364,0.512
365,0.926
366,0.662
367,0.908
368,0.344
369,0.504
370,0.952
371,0.88
372,0.18
373,0.406
374,0.874
375,0.782
376,0.314
377,0.848
378,0.63
379,0.832
380,0.772
381,0.634
382,0.682
383,0.47
384,0.86
385,0.902
386,0.796
387,0.78
388,0.704
389,0.692
390,0.8
391,0.552
392,0.45
393,0.802
394,0.908
395,0.596
396,0.342
397,0.672
398,0.58
399,0.288
400,0.49
401,0.684
402,0.68
403,0.488
404,0.84
405,0.054
406,0.178
407,0.66
408,0.082
409,0.432
410,0.722
411,0.428
412,0.18
413,0.742
414,0.504
415,0.988
416,0.516
417,0.288
418,0.39
419,0.606
420,0.454
421,0.978
422,0.79
423,0.584
424,0.27
425,0.364
426,0.802
427,0.772
428,0.858
429,0.76
430,0.392
431,0.262
432,0.868
433,0.844
434,0.556
435,0.364
436,0.91
437,0.736
438,0.126
439,0.56
440,0.942
441,0.43
442,0.572
443,0.888
444,0.542
445,0.924
446,0.958
447,0.688
448,0.444
449,0.884
450,0.512
451,0.452
452,0.936
453,0.876
454,0.762
455,0.498
456,0.996
457,0.316
458,0.73
459,0.804
460,0.692
461,0.83
462,0.974
463,0.262
464,0.47
465,0.7
466,0.976
467,0.322
468,0.656
469,0.916
470,0.148
471,0.714
472,0.954
473,0.752
474,0.872
475,0.464
476,0.878
477,0.438
478,0.904
479,0.734
480,0.948
481,0.98
482,0.342
483,0.814
484,0.544
485,0.86
486,0.17
487,0.848
488,0.116
489,0.284
490,0.84
491,0.932
492,0.542
493,0.958
494,0.154
495,0.536
496,0.888
497,0.674
498,0.868
499,0.456
500,0.966
501,0.832
502,0.146
503,0.61
504,0.448
505,0.552
506,0.514
507,0.702
508,0.962
509,0.882
510,0.428
511,0.672
512,0.088
513,0.598
514,0.85
515,0.498
516,0.824
517,0.168
518,0.3
519,0.904
520,0.27
521,0.814
522,0.478
523,0.774
524,0.254
525,0.594
526,0.592
527,0.746
528,0.694
529,0.928
530,0.956
531,0.644
532,0.418
533,0.782
534,0.696
535,0.702
536,0.358
537,0.952
538,0.796
539,0.47
540,0.256
541,0.638
542,0.912
543,0.618
544,0.948
545,0.49
546,0.654
547,0.476
548,0.18
549,0.968
550,0.522
551,0.448
552,0.534
553,0.198
554,0.646
555,0.2
556,0.906
557,0.984
558,0.958
